study_field,address,"phone, email",semester,GPA,foreign_language,exam_level,certificate_type,coordinator,planned_practice_place,planned_practice_time,social_stipend,previous_participation,faculty,surname,name,being_late,activity,rank_score
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"5.0
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,85.0
,,,,"4.71
",,C1,C1,,,,,,WIET,Pawłowski,Piotr,0,10,82.68
